Continent,Region,Countries,ID,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Europe,Eastern Europe,Hungary,hungary,48.67,51.32,52.25,50.89,48.04,48.94,55.24,51.03,51.29,47.87,46.98,45.38,45.7,48.02,52.72,55.13,54.35,55.35,58.54,65.32,68.77,71.71,73.4,71.96,70.53,70.44,71.49,72.96,74.2,74.81,75.17
Europe,Northern Europe,Iceland,iceland,61.64,69.09,75.24,75.24,70.7,64.52,59.66,57.11,55.27,55.43,53.52,51.06,49.4,51.44,55.02,58.25,60.88,62.2,63.77,65.94,68.94,71.48,73.82,74.83,75.43,77.54,79.97,82.27,84.11,85.44,86.54
Asia,Southern Asia,India,india,68.43,72.02,76.54,81.2,79.99,77.44,75.2,72.8,70.62,67.02,62.82,58.57,54.42,51.13,49.02,47.95,46.93,46.4,46.1,46.52,47.58,49.24,51.09,53.01,55.09,56.82,58.77,60.65,62.57,64.43,66.19
Asia,South-Eastern Asia,Indonesia,indonesia,75.84,73.18,76.78,83.5,87.05,85.18,80.73,74.44,67.28,60.82,54.62,53.54,53.47,50.32,47.42,45.44,46.09,47.78,49.71,51.35,53.06,53.42,54.22,56.16,59.1,62.82,65.03,66.73,68.28,69.91,71.55
Asia,Southern Asia,Iran (Islamic Republic of),islamic-republic-of-iran,71.09,78.4,88.22,93.82,90.44,87.3,87.41,93.8,94.71,84.33,63.59,44.4,40.4,42.06,44.63,44.5,43.46,44.31,46.88,52.27,61.7,71.15,75.31,74.65,73.16,74.43,77.78,80.61,82.32,83.25,84.05
Asia,Western Asia,Iraq,iraq,67.25,75.55,80.39,90.65,94.64,101.89,103.79,100.78,98.9,91.59,86.35,83.14,80.51,73.61,69.15,64.56,61.32,59.21,57.43,55.98,54.77,53.97,53.43,53.3,53.37,53.59,54.03,54.84,55.9,57.19,58.58
Europe,Northern Europe,Ireland,ireland,65.54,67.42,72.82,73.33,73.31,72.08,70.02,67.04,62.31,55.41,49.23,46.3,48.51,52.09,54.73,55.34,56.19,58.12,62.39,68.16,74.18,73.63,71.96,70.97,71.18,73.76,77.02,79.58,80.8,81.13,81.69
Asia,Western Asia,Israel,israel,55.25,64.42,69.85,69.09,64.74,67.47,71.49,70.82,67.04,63.22,61.58,60.98,60.44,63.58,65.2,64,62.11,61.89,63.76,65.46,65.79,65.25,64.34,64.49,65.9,68.73,71.77,73.65,75.02,76.55,78.71
Europe,Southern Europe,Italy,italy,53.34,51.41,52.73,52.91,55.7,57.49,55.26,48.08,45.77,46.22,48.33,50.87,52.28,55.68,57.93,61.21,66.94,74.53,82.32,87.15,88.48,87.9,86.63,85.04,84.25,84.52,85.64,86.62,87.45,88.41,89.67
Asia,Eastern Asia,Japan,japan,67.57,63.34,55.97,47.16,45.25,47.53,48.38,46.68,43.4,43.75,46.64,50.72,56.86,64.83,70.2,72.61,75.04,79.53,87.63,92.96,96.38,98.57,98.61,98.36,97.31,96.32,96.33,96.41,96.46,96.63,97.01
